date_treatment,id_mere,diet,density,boite_petri,Id_adulte,date_adulte,sex,forceps_L,pronotum
28-01-2025,0RAFT,GOOD,1,150,PHVIT,27-03-2025,male,4.26,1.748
28-01-2025,PKYWO,POOR,1,151,JHCQU,02-04-2025,male,4.15,1.628
28-01-2025,PKYWO,POOR,1,152,HPQGW,10-04-2025,femelle,3.283,1.773
28-01-2025,PKYWO,POOR,1,153,OOUDE,07-04-2025,femelle,3.357,1.638
28-01-2025,PKYWO,POOR,1,154,MXKKP,07-04-2025,femelle,3.173,1.667
28-01-2025,PKYWO,POOR,4,155,KUTYM,14-04-2025,femelle,3.412,1.514
28-01-2025,PKYWO,POOR,4,155,TRRCS,16-04-2025,male,3.357,1.327
28-01-2025,PKYWO,POOR,1,156,,,,,
28-01-2025,PKYWO,POOR,4,159,JGPWW,01-04-2025,male,4.01,1.627
28-01-2025,PKYWO,POOR,4,159,ABQVV,01-04-2025,femelle,3.532,1.635
28-01-2025,PKYWO,POOR,4,160,FBXPR,07-04-2025,femelle,3.44,1.79
28-01-2025,PKYWO,POOR,4,160,IWREA,21-04-2025,femelle,3.373,1.723
28-01-2025,PKYWO,POOR,4,161,,,,,
28-01-2025,PKYWO,POOR,8,162,EOFDC,28-03-2025,femelle,3.532,1.841
28-01-2025,PKYWO,POOR,8,162,JHZTN,31-03-2025,male,4.631,1.704
28-01-2025,PKYWO,POOR,8,162,FNOXK,31-03-2025,femelle,3.624,1.907
28-01-2025,PKYWO,POOR,8,162,KLZWZ,31-03-2025,male,6.266,1.947
28-01-2025,PKYWO,POOR,8,163,FGDPR,31-03-2025,male,4.165,1.687
28-01-2025,PKYWO,POOR,8,163,KABZG,01-04-2025,male,4.455,1.486
28-01-2025,PKYWO,POOR,8,163,HYOSE,01-04-2025,femelle,3.405,1.773
28-01-2025,PKYWO,POOR,8,163,HTVKD,04-04-2025,male,5.391,1.589
28-01-2025,PKYWO,POOR,8,163,ZHCTQ,07-04-2025,male,4.189,1.618
28-01-2025,PKYWO,POOR,8,163,ARGRI,07-04-2025,male,3.796,1.561
28-01-2025,PKYWO,POOR,8,164,AHJSH,01-04-2025,femelle,3.655,1.7
28-01-2025,PKYWO,POOR,8,164,DGSTV,02-04-2025,femelle,3.362,1.805
28-01-2025,PKYWO,POOR,8,164,VGGKC,07-04-2025,femelle,3.436,1.905
28-01-2025,PKYWO,POOR,8,164,SQAYM,07-04-2025,femelle,3.529,1.915
